Vehicle Name,Car Type,Drive Train Type,Retail Price ($US),Cost Price ($US),Engine Size (litres),Number cylinders,Horsepower (hp),City  (km/100L),Open Road (km/100L),Weight (kg),Wheel base (cm),Length (cm),Width (cm)
Saab 9-5 Arc 4dr,regular,FrontWheelDr,35105.00,33011.00,2.30,4.00,220.00,11.20,8.10,1562.00,269.00,483.00,180.00
Saab 9-5 Aero 4dr,regular,FrontWheelDr,39465.00,37721.00,2.30,4.00,250.00,11.20,8.10,1562.00,269.00,483.00,180.00
Subaru Outback H-6 VDC 4dr,regular,AllWheelDr,31545.00,28603.00,3.00,6.00,212.00,12.40,9.00,1634.00,264.00,467.00,175.00
Toyota Avalon XLS 4dr,regular,FrontWheelDr,30920.00,27271.00,3.00,6.00,210.00,11.20,8.10,1548.00,272.00,488.00,183.00
Volkswagen Passat GLX V6 4MOTION 4dr,regular,FrontWheelDr,33180.00,30583.00,2.80,6.00,190.00,12.40,9.00,1674.00,269.00,470.00,175.00
Volkswagen Passat W8 4MOTION 4dr,regular,FrontWheelDr,39235.00,36052.00,4.00,8.00,270.00,13.10,9.40,1779.00,269.00,470.00,175.00
Volvo S60 2.5 4dr,regular,AllWheelDr,31745.00,29916.00,2.50,5.00,208.00,11.80,8.70,1756.00,272.00,457.00,180.00
Volvo S60 T5 4dr,regular,FrontWheelDr,34845.00,32902.00,2.30,5.00,247.00,11.80,8.40,1695.00,272.00,457.00,180.00
Volvo S60 R 4dr,regular,AllWheelDr,37560.00,35382.00,2.50,5.00,300.00,13.10,9.40,1607.00,272.00,460.00,180.00
Volvo S80 2.9 4dr,regular,FrontWheelDr,37730.00,35542.00,2.90,6.00,208.00,11.80,8.40,1609.00,279.00,483.00,183.00
Volvo S80 2.5T 4dr,regular,AllWheelDr,37885.00,35688.00,2.50,5.00,194.00,11.80,8.70,1661.00,279.00,483.00,183.00
Acura 3.5 RL 4dr,regular,FrontWheelDr,43755.00,39014.00,3.50,6.00,225.00,13.10,9.80,1746.00,292.00,500.00,183.00
Acura 3.5 RL w/Navigation 4dr,regular,FrontWheelDr,46100.00,41100.00,3.50,6.00,225.00,13.10,9.80,1752.00,292.00,500.00,183.00
Audi A4 3.0 convertible 2dr,regular,FrontWheelDr,42490.00,38325.00,3.00,6.00,220.00,11.80,8.70,1716.00,267.00,457.00,178.00
Audi A4 3.0 Quattro convertible 2dr,regular,AllWheelDr,44240.00,40075.00,3.00,6.00,220.00,13.10,9.40,1806.00,267.00,457.00,178.00
Audi A6 2.7 Turbo Quattro 4dr,regular,AllWheelDr,42840.00,38840.00,2.70,6.00,250.00,13.10,9.40,1726.00,277.00,488.00,180.00
Audi A6 4.2 Quattro 4dr,regular,AllWheelDr,49690.00,44936.00,4.20,8.00,300.00,13.80,9.80,1811.00,277.00,490.00,180.00
Audi A8 L Quattro 4dr,regular,AllWheelDr,69190.00,64740.00,4.20,8.00,330.00,13.80,9.80,1980.00,307.00,518.00,191.00
Audi S4 Quattro 4dr,regular,AllWheelDr,48040.00,43556.00,4.20,8.00,340.00,16.80,11.80,1721.00,264.00,455.00,178.00
BMW 330Ci convertible 2dr,regular,RearWheelDr,44295.00,40530.00,3.00,6.00,225.00,12.40,8.40,1627.00,272.00,450.00,175.00
BMW 530i 4dr,regular,RearWheelDr,44995.00,41170.00,3.00,6.00,225.00,11.80,7.80,1562.00,290.00,485.00,185.00
BMW 545iA 4dr,regular,RearWheelDr,54995.00,50270.00,4.40,8.00,325.00,13.10,9.00,1716.00,290.00,485.00,185.00
BMW 745i 4dr,regular,RearWheelDr,69195.00,63190.00,4.40,8.00,325.00,13.10,9.00,1969.00,300.00,503.00,191.00
BMW 745Li 4dr,regular,RearWheelDr,73195.00,66830.00,4.40,8.00,325.00,13.10,9.00,2009.00,312.00,518.00,191.00
Buick Park Avenue Ultra 4dr,regular,FrontWheelDr,40720.00,36927.00,3.80,6.00,240.00,13.10,8.40,1759.00,290.00,526.00,191.00
Cadillac Deville 4dr,regular,FrontWheelDr,45445.00,41650.00,4.60,8.00,275.00,13.10,9.00,1793.00,292.00,526.00,188.00
Cadillac Deville DTS 4dr,regular,FrontWheelDr,50595.00,46362.00,4.60,8.00,300.00,13.10,9.00,1820.00,292.00,526.00,188.00
Cadillac Seville SLS 4dr,regular,FrontWheelDr,47955.00,43841.00,4.60,8.00,275.00,13.10,9.00,1796.00,284.00,511.00,191.00
Infiniti M45 4dr,regular,RearWheelDr,42845.00,38792.00,4.50,8.00,340.00,13.80,10.20,1733.00,279.00,500.00,178.00
Infiniti Q45 Luxury 4dr,regular,RearWheelDr,52545.00,47575.00,4.50,8.00,340.00,13.80,10.20,1790.00,287.00,508.00,185.00
Jaguar S-Type 3.0 4dr,regular,RearWheelDr,43895.00,40004.00,3.00,6.00,235.00,13.10,9.00,1700.00,292.00,488.00,183.00
Jaguar S-Type 4.2 4dr,regular,RearWheelDr,49995.00,45556.00,4.20,8.00,294.00,13.10,8.40,1743.00,292.00,488.00,183.00
Jaguar S-Type R 4dr,regular,RearWheelDr,63120.00,57499.00,4.20,8.00,390.00,13.80,9.80,1821.00,292.00,488.00,183.00
Jaguar Vanden Plas 4dr,regular,RearWheelDr,68995.00,62846.00,4.20,8.00,294.00,13.10,8.40,1711.00,302.00,508.00,185.00
Jaguar XJ8 4dr,regular,RearWheelDr,59995.00,54656.00,4.20,8.00,294.00,13.10,8.40,1711.00,302.00,508.00,185.00
Jaguar XJR 4dr,regular,RearWheelDr,74995.00,68306.00,4.20,8.00,390.00,13.80,9.80,1777.00,302.00,508.00,185.00
Lexus GS 300 4dr,regular,RearWheelDr,41010.00,36196.00,3.00,6.00,220.00,13.10,9.40,1642.00,279.00,480.00,180.00
Lexus GS 430 4dr,regular,RearWheelDr,48450.00,42232.00,4.30,8.00,300.00,13.10,10.20,1672.00,279.00,480.00,180.00
Lexus LS 430 4dr,regular,RearWheelDr,55750.00,48583.00,4.30,8.00,290.00,13.10,9.40,1796.00,292.00,500.00,183.00
Lincoln LS V8 Sport 4dr,regular,RearWheelDr,40095.00,36809.00,3.90,8.00,280.00,13.80,9.80,1696.00,292.00,493.00,185.00
Lincoln LS V8 Ultimate 4dr,regular,RearWheelDr,43495.00,39869.00,3.90,8.00,280.00,13.80,9.80,1696.00,292.00,493.00,185.00
Lincoln Town Car Signature 4dr,regular,RearWheelDr,41815.00,38418.00,4.60,8.00,239.00,13.80,9.40,1966.00,300.00,546.00,198.00
Lincoln Town Car Ultimate 4dr,regular,RearWheelDr,44925.00,41217.00,4.60,8.00,239.00,13.80,9.40,1966.00,300.00,546.00,198.00
Lincoln Town Car Ultimate L 4dr,regular,RearWheelDr,50470.00,46208.00,4.60,8.00,239.00,13.80,9.40,2013.00,315.00,561.00,198.00
Mercedes-Benz C32 AMG 4dr,regular,RearWheelDr,52120.00,48522.00,3.20,6.00,349.00,14.70,11.20,1593.00,272.00,452.00,173.00
Mercedes-Benz CL500 2dr,regular,RearWheelDr,94820.00,88324.00,5.00,8.00,302.00,14.70,9.80,1838.00,290.00,498.00,185.00
Mercedes-Benz CL600 2dr,regular,RearWheelDr,128420.00,119600.00,5.50,12.00,493.00,18.10,12.40,2013.00,290.00,498.00,185.00
Mercedes-Benz CLK320 coupe 2dr (convertible),regular,RearWheelDr,45707.00,41966.00,3.20,6.00,215.00,11.80,9.00,1697.00,272.00,465.00,175.00
Mercedes-Benz CLK500 coupe 2dr (convertible),regular,RearWheelDr,52800.00,49104.00,5.00,8.00,302.00,13.80,10.70,1613.00,272.00,465.00,175.00
Mercedes-Benz E320 4dr,regular,RearWheelDr,48170.00,44849.00,3.20,6.00,221.00,12.40,8.70,1636.00,284.00,483.00,180.00
Mercedes-Benz E500 4dr,regular,RearWheelDr,57270.00,53382.00,5.00,8.00,302.00,14.70,11.80,1717.00,284.00,483.00,180.00
Mercedes-Benz S430 4dr,regular,RearWheelDr,74320.00,69168.00,4.30,8.00,275.00,13.10,9.00,1872.00,310.00,516.00,185.00
Mercedes-Benz S500 4dr,regular,AllWheelDr,86970.00,80939.00,5.00,8.00,302.00,14.70,9.80,1976.00,310.00,516.00,185.00
Saab 9-3 Arc convertible 2dr,regular,FrontWheelDr,40670.00,38520.00,2.00,4.00,210.00,11.20,8.10,1566.00,267.00,462.00,175.00
Saab 9-3 Aero convertible 2dr,regular,FrontWheelDr,43175.00,40883.00,2.00,4.00,210.00,11.20,7.80,1665.00,267.00,462.00,175.00
Volkswagen Phaeton 4dr,regular,FrontWheelDr,65000.00,59912.00,4.20,8.00,335.00,,,2337.00,300.00,518.00,191.00
Volkswagen Phaeton W12 4dr,regular,FrontWheelDr,75000.00,69130.00,6.00,12.00,420.00,,,2430.00,300.00,518.00,191.00
Volvo C70 LPT convertible 2dr,regular,FrontWheelDr,40565.00,38203.00,2.40,5.00,197.00,11.20,8.40,1553.00,267.00,472.00,183.00
Volvo C70 HPT convertible 2dr,regular,FrontWheelDr,42565.00,40083.00,2.30,5.00,242.00,11.80,9.00,1553.00,267.00,472.00,183.00
Volvo S80 T6 4dr,regular,FrontWheelDr,45210.00,42573.00,2.90,6.00,268.00,12.40,9.00,1644.00,279.00,483.00,183.00
Acura NSX coupe 2dr manual S,Sports,RearWheelDr,89765.00,79978.00,3.20,6.00,290.00,13.80,9.80,1419.00,254.00,442.00,180.00
Audi RS 6 4dr,Sports,FrontWheelDr,84600.00,76417.00,4.20,8.00,450.00,15.70,10.70,1811.00,277.00,485.00,198.00
Audi TT 1.8 convertible 2dr (coupe),Sports,FrontWheelDr,35940.00,32512.00,1.80,4.00,180.00,11.80,8.40,1409.00,241.00,404.00,185.00
Audi TT 1.8 Quattro 2dr (convertible),Sports,AllWheelDr,37390.00,33891.00,1.80,4.00,225.00,11.80,8.40,1314.00,244.00,404.00,185.00
Audi TT 3.2 coupe 2dr (convertible),Sports,AllWheelDr,40590.00,36739.00,3.20,6.00,250.00,11.20,8.10,1508.00,244.00,404.00,185.00
BMW M3 coupe 2dr,Sports,RearWheelDr,48195.00,44170.00,3.20,6.00,333.00,14.70,9.80,1537.00,274.00,450.00,178.00
BMW M3 convertible 2dr,Sports,RearWheelDr,56595.00,51815.00,3.20,6.00,333.00,14.70,10.20,1701.00,274.00,450.00,178.00
BMW Z4 convertible 2.5i 2dr,Sports,RearWheelDr,33895.00,31065.00,2.50,6.00,184.00,11.80,8.40,1319.00,249.00,409.00,178.00
BMW Z4 convertible 3.0i 2dr,Sports,RearWheelDr,41045.00,37575.00,3.00,6.00,225.00,11.20,8.10,1349.00,249.00,409.00,178.00
Cadillac XLR convertible 2dr,Sports,RearWheelDr,76200.00,70546.00,4.60,8.00,320.00,13.80,9.40,1641.00,269.00,452.00,183.00
Chevrolet Corvette 2dr,Sports,RearWheelDr,44535.00,39068.00,5.70,8.00,350.00,13.10,9.40,1461.00,267.00,457.00,188.00
Chevrolet Corvette convertible 2dr,Sports,RearWheelDr,51535.00,45193.00,5.70,8.00,350.00,13.10,9.40,1462.00,267.00,457.00,188.00
Chrysler Crossfire 2dr,Sports,RearWheelDr,34495.00,32033.00,3.20,6.00,215.00,13.80,9.40,1377.00,241.00,406.00,178.00
Dodge Viper SRT-10 convertible 2dr,Sports,RearWheelDr,81795.00,74451.00,8.30,10.00,500.00,,,1535.00,251.00,447.00,191.00
Ford Mustang 2dr (convertible),Sports,RearWheelDr,18345.00,16943.00,3.80,6.00,193.00,11.80,8.10,1481.00,257.00,465.00,185.00
Ford Mustang GT Premium convertible 2dr,Sports,RearWheelDr,29380.00,26875.00,4.60,8.00,260.00,13.80,9.40,1506.00,257.00,465.00,185.00
Ford Thunderbird Deluxe convert w/hardtop 2dr,Sports,FrontWheelDr,37530.00,34483.00,3.90,8.00,280.00,13.80,9.80,1701.00,272.00,472.00,183.00
Honda S2000 convertible 2dr,Sports,RearWheelDr,33260.00,29965.00,2.20,4.00,240.00,11.80,9.40,1276.00,241.00,411.00,175.00
Hyundai Tiburon GT V6 2dr,Sports,FrontWheelDr,18739.00,17101.00,2.70,6.00,172.00,12.40,9.00,1360.00,254.00,439.00,175.00
Jaguar XK8 coupe 2dr,Sports,RearWheelDr,69995.00,63756.00,4.20,8.00,294.00,13.10,9.00,1701.00,259.00,475.00,180.00
Jaguar XK8 convertible 2dr,Sports,RearWheelDr,74995.00,68306.00,4.20,8.00,294.00,13.10,9.00,1791.00,259.00,475.00,180.00
Jaguar XKR coupe 2dr,Sports,RearWheelDr,81995.00,74676.00,4.20,8.00,390.00,14.70,10.20,1739.00,259.00,475.00,180.00
Jaguar XKR convertible 2dr,Sports,RearWheelDr,86995.00,79226.00,4.20,8.00,390.00,14.70,10.20,1819.00,259.00,475.00,180.00
Lexus SC 430 convertible 2dr,Sports,RearWheelDr,63200.00,55063.00,4.30,8.00,300.00,13.10,10.20,1728.00,262.00,452.00,183.00
Mazda MX-5 Miata convertible 2dr,Sports,RearWheelDr,22388.00,20701.00,1.80,4.00,142.00,10.20,8.40,1074.00,226.00,396.00,168.00
Mazda MX-5 Miata LS convertible 2dr,Sports,RearWheelDr,25193.00,23285.00,1.80,4.00,142.00,10.20,8.40,1074.00,226.00,396.00,168.00
Mazda RX-8 4dr automatic,Sports,RearWheelDr,25700.00,23794.00,1.30,-1.00,197.00,13.10,9.40,1374.00,269.00,442.00,
Mazda RX-8 4dr manual,Sports,RearWheelDr,27200.00,25179.00,1.30,-1.00,238.00,13.10,9.80,1363.00,269.00,442.00,
Mercedes-Benz SL500 convertible 2dr,Sports,RearWheelDr,90520.00,84325.00,5.00,8.00,302.00,14.70,10.20,1829.00,257.00,455.00,183.00
Mercedes-Benz SL55 AMG 2dr,Sports,RearWheelDr,121770.00,113388.00,5.50,8.00,493.00,16.80,11.20,1906.00,257.00,455.00,183.00
Mercedes-Benz SL600 convertible 2dr,Sports,RearWheelDr,126670.00,117854.00,5.50,12.00,493.00,18.10,12.40,1993.00,257.00,455.00,183.00
Mercedes-Benz SLK230 convertible 2dr,Sports,RearWheelDr,40320.00,37548.00,2.30,4.00,192.00,11.20,8.10,1375.00,241.00,401.00,173.00
Mercedes-Benz SLK32 AMG 2dr,Sports,RearWheelDr,56170.00,52289.00,3.20,6.00,349.00,13.80,10.70,1449.00,241.00,401.00,173.00
Mitsubishi Eclipse GTS 2dr,Sports,FrontWheelDr,25092.00,23456.00,3.00,6.00,210.00,11.20,8.40,1458.00,257.00,450.00,175.00
Mitsubishi Eclipse Spyder GT convertible 2dr,Sports,FrontWheelDr,26992.00,25218.00,3.00,6.00,210.00,11.20,8.40,1483.00,257.00,450.00,175.00
Mitsubishi Lancer Evolution 4dr,Sports,FrontWheelDr,29562.00,27466.00,2.00,4.00,271.00,13.10,9.00,1468.00,262.00,455.00,178.00
Nissan 350Z coupe 2dr,Sports,RearWheelDr,26910.00,25203.00,3.50,6.00,287.00,11.80,9.00,1435.00,264.00,429.00,183.00
Nissan 350Z Enthusiast convertible 2dr,Sports,RearWheelDr,34390.00,31845.00,3.50,6.00,287.00,11.80,9.00,1543.00,264.00,429.00,183.00
Pontiac GTO 2dr,Sports,RearWheelDr,33500.00,30710.00,5.70,8.00,340.00,,,1676.00,279.00,483.00,185.00
Porsche 911 Carrera convertible 2dr (coupe),Sports,RearWheelDr,79165.00,69229.00,3.60,6.00,315.00,13.10,9.00,1411.00,236.00,445.00,178.00
Porsche 911 Carrera 4S coupe 2dr (convert),Sports,AllWheelDr,84165.00,72206.00,3.60,6.00,315.00,13.80,9.80,1458.00,236.00,445.00,183.00
Porsche 911 Targa coupe 2dr,Sports,RearWheelDr,76765.00,67128.00,3.60,6.00,315.00,13.10,9.00,1404.00,236.00,445.00,178.00
Porsche 911 GT2 2dr,Sports,RearWheelDr,192465.00,173560.00,3.60,6.00,477.00,13.80,9.80,1409.00,236.00,445.00,183.00
Porsche Boxster convertible 2dr,Sports,RearWheelDr,43365.00,37886.00,2.70,6.00,228.00,11.80,8.10,1265.00,241.00,432.00,178.00
Porsche Boxster S convertible 2dr,Sports,RearWheelDr,52365.00,45766.00,3.20,6.00,258.00,13.10,9.00,1310.00,241.00,432.00,178.00
Subaru Impreza WRX 4dr,Sports,AllWheelDr,25045.00,23022.00,2.00,4.00,227.00,11.80,8.70,1388.00,251.00,442.00,175.00
Subaru Impreza WRX STi 4dr,Sports,AllWheelDr,31545.00,29130.00,2.50,4.00,300.00,13.10,9.80,1468.00,254.00,442.00,175.00
Toyota Celica GT-S 2dr,Sports,FrontWheelDr,22570.00,20363.00,1.80,4.00,180.00,9.80,7.10,1125.00,259.00,434.00,173.00
Toyota MR2 Spyder convertible 2dr,Sports,RearWheelDr,25130.00,22787.00,1.80,4.00,138.00,9.00,7.40,988.00,246.00,389.00,170.00
Cadillac Escaladet,SUV,FrontWheelDr,52795.00,48377.00,5.30,8.00,295.00,16.80,13.10,2415.00,295.00,505.00,201.00
Cadillac SRX V8,SUV,FrontWheelDr,46995.00,43523.00,4.60,8.00,320.00,14.70,11.20,1936.00,295.00,495.00,185.00
Chevrolet Suburban 1500 LT,SUV,FrontWheelDr,42735.00,37422.00,5.30,8.00,295.00,16.80,13.10,2226.00,330.00,556.00,201.00
Chevrolet Tahoe LT,SUV,AllWheelDr,41465.00,36287.00,5.30,8.00,295.00,16.80,13.10,2273.00,295.00,500.00,201.00
Dodge Durango SLT,SUV,AllWheelDr,32235.00,29472.00,4.70,8.00,230.00,15.70,11.20,2244.00,302.00,511.00,193.00
Ford Excursion 6.8 XLT,SUV,AllWheelDr,41475.00,36494.00,6.80,10.00,310.00,,,3236.00,348.00,577.00,203.00
Ford Expedition 4.6 XLT,SUV,FrontWheelDr,34560.00,30468.00,4.60,8.00,232.00,15.70,12.40,2250.00,302.00,523.00,201.00
GMC Envoy XUV SLE,SUV,FrontWheelDr,31890.00,28922.00,4.20,6.00,275.00,15.70,12.40,2225.00,328.00,528.00,191.00
CMC Yukon 1500 SLE,SUV,FrontWheelDr,35725.00,31361.00,4.80,8.00,285.00,14.70,12.40,2269.00,295.00,505.00,201.00
GMC Yukon XL 2500 SLT,SUV,AllWheelDr,46265.00,40534.00,6.00,8.00,325.00,18.10,13.80,2760.00,330.00,556.00,201.00
Hummer H2,SUV,AllWheelDr,49995.00,45815.00,6.00,8.00,316.00,23.50,19.60,2880.00,312.00,483.00,206.00
Isuzu Ascender S,SUV,AllWheelDr,31849.00,29977.00,4.20,6.00,275.00,15.70,11.80,2235.00,328.00,528.00,193.00
Lincoln Navigator Luxury,SUV,AllWheelDr,52775.00,46360.00,5.40,8.00,300.00,18.10,13.10,2686.00,302.00,523.00,203.00
Nissan Pathfinder Armada SE,SUV,FrontWheelDr,33840.00,30815.00,5.60,8.00,305.00,18.10,12.40,2256.00,312.00,526.00,201.00
Toyota Sequoia SR5,SUV,AllWheelDr,35695.00,31827.00,4.70,8.00,240.00,16.80,13.80,2372.00,300.00,518.00,198.00
Acura MDX,SUV,AllWheelDr,36945.00,33337.00,3.50,6.00,265.00,13.80,10.20,2003.00,269.00,480.00,196.00
BMW X3 3.0i,SUV,AllWheelDr,37000.00,33873.00,3.00,6.00,225.00,14.70,10.20,1810.00,279.00,457.00,185.00
BMW X5 4.4i,SUV,AllWheelDr,52195.00,47720.00,4.40,8.00,325.00,14.70,10.70,2171.00,282.00,467.00,188.00
Buick Rainier,SUV,AllWheelDr,37895.00,34357.00,4.20,6.00,275.00,15.70,11.20,2070.00,287.00,490.00,191.00
Buick Rendezvous CX,SUV,FrontWheelDr,26545.00,24085.00,3.40,6.00,185.00,12.40,9.00,1811.00,284.00,475.00,188.00
Chevrolet TrailBlazer LT,SUV,FrontWheelDr,30295.00,27479.00,4.20,6.00,275.00,14.70,11.20,1991.00,287.00,488.00,191.00
Ford Explorer XLT V6,SUV,AllWheelDr,29670.00,26983.00,4.00,6.00,210.00,15.70,11.80,2008.00,290.00,483.00,183.00
Honda Pilot LX,SUV,AllWheelDr,27560.00,24843.00,3.50,6.00,240.00,13.80,10.70,1974.00,269.00,478.00,196.00
Isuzu Rodeo S,SUV,FrontWheelDr,20449.00,19261.00,3.20,6.00,193.00,13.80,11.20,1726.00,269.00,452.00,178.00
Jeep Grand Cherokee Laredo,SUV,FrontWheelDr,27905.00,25686.00,4.00,6.00,195.00,14.70,11.20,1706.00,269.00,460.00,183.00
Kia Sorento LX,SUV,FrontWheelDr,19635.00,18630.00,3.50,6.00,192.00,14.70,12.40,1850.00,272.00,457.00,185.00
Land Rover Range Rover HSE,SUV,AllWheelDr,72250.00,65807.00,4.40,8.00,282.00,19.60,14.70,2421.00,287.00,495.00,193.00
Lexus GX 470,SUV,AllWheelDr,45700.00,39838.00,4.70,8.00,235.00,15.70,12.40,2133.00,279.00,478.00,188.00
Lexus LX 470,SUV,AllWheelDr,64800.00,56455.00,4.70,8.00,235.00,18.10,13.80,2516.00,284.00,490.00,193.00
Lexus RX 330,SUV,AllWheelDr,39195.00,34576.00,3.30,6.00,230.00,13.10,9.80,1829.00,272.00,472.00,185.00
Lincoln Aviator Ultimate,SUV,FrontWheelDr,42915.00,39443.00,4.60,8.00,302.00,18.10,13.10,2175.00,290.00,490.00,193.00
Mercedes-Benz G500,SUV,AllWheelDr,76870.00,71540.00,5.00,8.00,292.00,18.10,16.80,2440.00,284.00,472.00,180.00
Mercedes-Benz ML500,SUV,AllWheelDr,46470.00,43268.00,5.00,8.00,288.00,16.80,13.80,2193.00,282.00,465.00,183.00
Mercury Mountaineer,SUV,FrontWheelDr,29995.00,27317.00,4.00,6.00,210.00,14.70,11.20,1968.00,290.00,483.00,183.00
Mitsubishi Endeavor XLS,SUV,AllWheelDr,30492.00,28330.00,3.80,6.00,215.00,13.80,11.20,1860.00,277.00,483.00,188.00
Mitsubishi Montero XLS,SUV,AllWheelDr,33112.00,30763.00,3.80,6.00,215.00,15.70,12.40,2123.00,279.00,483.00,191.00
Nissan Pathfinder SE,SUV,FrontWheelDr,27339.00,25972.00,3.50,6.00,240.00,14.70,11.20,1742.00,269.00,465.00,183.00
Pontiac Aztekt,SUV,FrontWheelDr,21595.00,19810.00,3.40,6.00,185.00,12.40,9.00,1701.00,274.00,462.00,188.00
Porsche Cayenne S,SUV,AllWheelDr,56665.00,49865.00,4.50,8.00,340.00,16.80,13.10,2228.00,284.00,478.00,193.00
Saturn VUE,SUV,AllWheelDr,20585.00,19238.00,2.20,4.00,143.00,11.20,9.00,1521.00,272.00,460.00,183.00
Suzuki XL-7 EX,SUV,FrontWheelDr,23699.00,22307.00,2.70,6.00,185.00,13.10,10.70,1657.00,279.00,475.00,178.00
Toyota 4Runner SR5 V6,SUV,FrontWheelDr,27710.00,24801.00,4.00,6.00,245.00,13.10,11.20,1816.00,279.00,480.00,188.00
Toyota Highlander V6,SUV,AllWheelDr,27930.00,24915.00,3.30,6.00,230.00,13.10,9.80,1771.00,272.00,470.00,183.00
Toyota Land Cruiser,SUV,AllWheelDr,54765.00,47986.00,4.70,8.00,325.00,18.10,13.80,2426.00,284.00,490.00,193.00
Volkswagen Touareg V6,SUV,AllWheelDr,35515.00,32243.00,3.20,6.00,220.00,15.70,11.80,2289.00,284.00,475.00,193.00
Volvo XC90 T6,SUV,AllWheelDr,41250.00,38851.00,2.90,6.00,268.00,15.70,11.80,2087.00,287.00,480.00,191.00
Chevrolet Tracker,SUV,FrontWheelDr,20255.00,19108.00,2.50,6.00,165.00,12.40,10.70,1290.00,249.00,414.00,170.00
Ford Escape XLS,SUV,AllWheelDr,22515.00,20907.00,3.00,6.00,201.00,13.10,10.20,1506.00,262.00,439.00,178.00
Honda CR-V LX,SUV,AllWheelDr,19860.00,18419.00,2.40,4.00,160.00,11.20,9.40,1466.00,262.00,455.00,178.00
Honda Element LX,SUV,AllWheelDr,18690.00,17334.00,2.40,4.00,160.00,11.20,9.80,1561.00,257.00,424.00,183.00
Hyundai Santa Fe GLS,SUV,FrontWheelDr,21589.00,20201.00,2.70,6.00,173.00,11.80,9.00,1597.00,262.00,450.00,185.00
Jeep Liberty Sport,SUV,AllWheelDr,20130.00,18973.00,2.40,4.00,150.00,11.80,9.80,1722.00,264.00,442.00,183.00
Jeep Wrangler Sahara convertible 2dr,SUV,AllWheelDr,25520.00,23275.00,4.00,6.00,190.00,14.70,12.40,1609.00,236.00,381.00,170.00
Land Rover Discovery SE,SUV,AllWheelDr,39250.00,35777.00,4.60,8.00,217.00,19.60,14.70,2059.00,254.00,470.00,188.00
Land Rover Freelander SE,SUV,AllWheelDr,25995.00,23969.00,2.50,6.00,174.00,13.10,11.20,1610.00,257.00,445.00,180.00
Mazda Tribute DX 2.0,SUV,AllWheelDr,21087.00,19742.00,2.00,4.00,130.00,10.70,9.40,1391.00,262.00,439.00,183.00
Mitsubishi Outlander LS,SUV,FrontWheelDr,18892.00,17569.00,2.40,4.00,160.00,11.20,8.70,1458.00,262.00,455.00,175.00
Nissan Xterra XE V6,SUV,FrontWheelDr,20939.00,19512.00,3.30,6.00,180.00,13.80,11.80,1692.00,264.00,452.00,178.00
Suzuki Vitara LX,SUV,AllWheelDr,17163.00,16949.00,2.50,6.00,165.00,12.40,10.70,1359.00,249.00,414.00,170.00
Toyota RAV4,SUV,AllWheelDr,20290.00,18553.00,2.40,4.00,161.00,10.70,8.70,1404.00,249.00,424.00,173.00
Audi A6 3.0 Avant Quattro,Wagon,AllWheelDr,40840.00,37060.00,3.00,6.00,220.00,13.10,9.40,1816.00,277.00,488.00,180.00
Audi S4 Avant Quattro,Wagon,AllWheelDr,49090.00,44446.00,4.20,8.00,340.00,15.70,11.20,1771.00,264.00,455.00,178.00
BMW 325xi Sport,Wagon,AllWheelDr,32845.00,30110.00,2.50,6.00,184.00,12.40,9.00,1617.00,272.00,447.00,175.00
Chevrolet Malibu Maxx LS,Wagon,FrontWheelDr,22225.00,20394.00,3.50,6.00,200.00,10.70,7.80,1556.00,284.00,478.00,178.00
Chrysler Pacifica,Wagon,RearWheelDr,31230.00,28725.00,3.50,6.00,250.00,13.80,10.20,2104.00,295.00,505.00,201.00
Ford Focus ZTW,Wagon,FrontWheelDr,17475.00,16375.00,2.00,4.00,130.00,9.00,7.10,1216.00,262.00,452.00,170.00
Ford Taurus SE,Wagon,FrontWheelDr,22290.00,20457.00,3.00,6.00,155.00,12.40,9.00,1574.00,277.00,503.00,185.00
Infiniti FX35,Wagon,RearWheelDr,34895.00,31756.00,3.50,6.00,280.00,14.70,10.70,1825.00,284.00,480.00,193.00
Infiniti FX45,Wagon,AllWheelDr,36395.00,33121.00,4.50,8.00,315.00,15.70,12.40,1939.00,284.00,480.00,193.00
Kia Rio Cinco,Wagon,FrontWheelDr,11905.00,11410.00,1.60,4.00,104.00,9.00,7.10,1101.00,241.00,424.00,168.00
Lexus IS 300 SportCross,Wagon,RearWheelDr,32455.00,28647.00,3.00,6.00,215.00,13.10,9.80,1535.00,267.00,450.00,173.00
Mercedes-Benz C240,Wagon,RearWheelDr,33780.00,31466.00,2.60,6.00,168.00,12.40,9.40,1562.00,272.00,455.00,173.00
Mercedes-Benz E320,Wagon,RearWheelDr,50670.00,47174.00,3.20,6.00,221.00,12.40,8.70,1785.00,284.00,483.00,180.00
Mercedes-Benz E500,Wagon,AllWheelDr,60670.00,56474.00,5.00,8.00,302.00,14.70,9.80,1904.00,284.00,483.00,180.00
Mercury Sable GS,Wagon,FrontWheelDr,22595.00,20748.00,3.00,6.00,155.00,12.40,9.00,1570.00,277.00,503.00,185.00
Mitsubishi Lancer Sportback LS,Wagon,FrontWheelDr,17495.00,16295.00,2.40,4.00,160.00,,,1359.00,259.00,460.00,170.00
Nissan Murano SL,Wagon,RearWheelDr,28739.00,27300.00,3.50,6.00,245.00,11.80,9.40,1710.00,282.00,478.00,188.00
